,name,affiliation,race,status,devil_fruit,origin,haki,bounty,devil_fruit_type
632,Ikkaku ,Heart Pirates,Human,Unknown,Unknown,,,,Unknown
633,Ikkaku,,Human,Alive,Unknown,,,,Unknown
634,Inazuma,Revolutionary Army,Human,Alive,Choki Choki no Mi,South Blue,,"At least 100,000,000",Paramecia
635,Inbi,Beasts Pirates (Numbers),Artificial Giant,Alive,Unknown,Grand Line (Punk Hazard),,,Unknown
636,Indigo,Golden Lion Pirates,Human,Alive,Unknown,,,,Unknown
637,Inhel,Tontatta Kingdom,Dwarf,Alive,Unknown,,,,Unknown
638,Inoichibannosuke,,Human,Alive,Unknown,,,,Unknown
639,Inuarashi,Mokomo Dukedom,Mink,Alive,Unknown,Grand Line (Mokomo Dukedom),"['Observation', 'Armament']",,Unknown
640,Inukai,,Human,Alive,Unknown,,,,Unknown
641,Inuppe,Thriller Bark Pirates,Animal,Deceased,Unknown,,,,Unknown
642,Ipponmatsu,Loguetown Arms Shop,Human,Alive,Unknown,East Blue (Loguetown),,,Unknown
643,Ipponume,Loguetown Arms Shop,Human,Alive,Unknown,East Blue,,,Unknown
644,Isa,Shandia,Moon people - Shandian,Alive,Unknown,,,,Unknown
645,Iscat,,Animal,Alive,Unknown,,,,Unknown
646,Ishigo Shitemanna,,Human,Alive,Unknown,,,,Unknown
647,Ishilly,Mermaid Café,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
648,Island Eater,,Animal,Deceased,Unknown,Grand Line,,,Unknown
649,Islewan,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
650,Issho [Fujitora],Marines,Human,Alive,Zushi Zushi no Mi,Grand Line (Aoi Kingdom),"['Observation', 'Armament']",3000000000,Paramecia
651,Isuka,Marines,Human,Alive,Unknown,,,1000000,Unknown
652,Itomimizu,Foxy Pirates (former),Human,Alive,Unknown,,,,Unknown
653,Ivan X,Arabasta Kingdom,Animal,Alive,Unknown,,,,Unknown
654,Iwatobi,Whiteland Kingdom,Human,Alive,Unknown,,,,Unknown
655,Iyan'eno Chinode,World Economy News Paper,Human,Alive,Unknown,,,,Unknown
656,Izou,Whitebeard Pirates,Human,Deceased,Unknown,Grand Line (Wano Country),"['Observation', 'Armament']",510000000,Unknown
657,Jabari,CP6,Human,Alive,Unknown,,,,Unknown
658,Jabra,CP0,Human,Alive,"Inu Inu no Mi, Model: Wolf",North Blue,"['Observation', 'Armament']",,Zoan
659,Jack,Beasts Pirates,Fish-man,Alive,"Zou Zou no Mi, Model: Mammoth",Grand Line,"['Observation', 'Armament']",1000000000,Zoan
660,Jack-in-the-box,Thriller Bark Pirates,Devil Fruit creation,Deceased,Unknown,,,,Unknown
661,Jacksonbanner,Roger Pirates,Human,Unknown,Unknown,,,,Unknown
662,Jaguar,Kid Pirates,Human,Unknown,Unknown,,,,Unknown
663,Jaguar D. Saul,Walrus School,Giant,Alive,Unknown,South Blue,['Armament'],,Unknown
664,Jaki,Beasts Pirates (Numbers),Artificial Giant,Alive,Unknown,Grand Line (Punk Hazard),,,Unknown
665,Jalmack,World Government,Human,Alive,Unknown,,,,Unknown
666,Jango,Marines,Human,Alive,Unknown,East Blue,,1000000,Unknown
667,Jarul,Giant Warrior Pirates (former),Giant,Alive,Unknown,Grand Line (Elbaph),,,Unknown
668,Jaygarcia Saturn,Five Elders,Human,Deceased,Unknown,,"['Conquerors', 'Observation']",,Unknown
669,Jean Ango,,Human,Alive,Unknown,,,,Unknown
670,Jean Bart,Heart Pirates,Human,Unknown,Unknown,,,,Unknown
671,Jean Goen,,Human,Alive,Unknown,Grand Line,,"Less than 15,000,000",Unknown
672,Jean Noueilles,New Fish-Man Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
673,Jeep,South Fire Kingdom,Human,Alive,Unknown,,,,Unknown
674,Jeet,Ideo Pirates,Human,Alive,Unknown,,,,Unknown
675,Jero,Marines ,Human,Alive,Unknown,,,,Unknown
676,Jerry,CP6,Human,Alive,Unknown,South Blue (Karate Island),,,Unknown
677,Jesus Burgess,Blackbeard Pirates,Human,Alive,Riki Riki no Mi,Grand Line,"['Observation', 'Armament']","At least 20,000,000",Paramecia
678,Jew Wall,,Human,Unknown,Unknown,,,,Unknown
679,Jewelry Bonney,Bonney Pirates,Human,Alive,Toshi Toshi no Mi,Red Line (Mary Geoise),['Armament'],320000000,Paramecia
680,Jibuemon,Kouzuki Family,Human,Alive,Unknown,,,,Unknown
681,Jigoku Benten,Beasts Pirates,Human,Alive,Unknown,Grand Line (Wano Country),,,Unknown
682,Jigokukamabuta Megatenpanchiro,Shimotsuki Family,Human,Unknown,Unknown,,,,Unknown
683,Jigoro,Thriller Bark Pirates,Human,Deceased,Unknown,West Blue,,,Unknown
684,Jigra,Underworld,Human,Deceased,Unknown,,,,Unknown
685,Jinbe,Straw Hat Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),"['Observation', 'Armament']",1100000000,Unknown
686,Jiron,Revolutionary Army,Human,Alive,Unknown,,,,Unknown
687,Jobo,,Human,Alive,Unknown,,,,Unknown
688,Johanna,Walrus School,Giant,Alive,Unknown,,,,Unknown
689,John,Thriller Bark Pirates,Human,Deceased,Jiki Jiki no Mi,,,,Unknown
690,John Giant,Marines,Giant,Alive,Unknown,Grand Line (Elbaph),['Armament'],500000000,Unknown
691,Johnny,Yosaku,Human,Alive,Unknown,East Blue,,,Unknown
692,Jorge,World Government,Human,Unknown,Unknown,,,,Unknown
693,Jörmungandr,,Devil Fruit creation,Unknown,Unknown,,,,Unknown
694,Jorul,Giant Warrior Pirates (former),Giant,Deceased,Unknown,Grand Line (Elbaph),,,Unknown
695,Joseph,CP0,Longarm,Alive,Unknown,,,,Unknown
696,Joshu,Edison,Animal,Alive,Unknown,,,,Unknown
697,Joy Boy,,Human,Deceased,"Hito Hito no Mi, Model: Nika (Awakened)",Great Kingdom,['Conquerors'],,Zoan
698,Jozu,Whitebeard Pirates,Human,Alive,Kira Kira no Mi,West Blue,"['Observation', 'Armament']",,Paramecia
699,Judy,,Human,Alive,Unknown,Grand Line,,,Unknown
700,Jugemu Jugemuko,,Human,Alive,Unknown,,,,Unknown
701,Jujiro,Kouzuki Family,Human,Alive,Unknown,,,,Unknown
702,Juki,Beasts Pirates (Numbers),Artificial Giant,Alive,Unknown,Grand Line (Punk Hazard),,,Unknown
703,Julius,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
704,Jumper,Beasts Pirates,Human,Alive,Chinese Grasshopper SMILE,,,,Zoan
705,Junan,Criminal,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
706,Kabu,Tontatta Kingdom,Dwarf,Alive,"Mushi Mushi no Mi, Model: Kabutomushi",,,,Zoan
707,Kadar,Marines,Human,Unknown,Unknown,,,200000000,Unknown
708,Kagero,Kouzuki Family,Human,Alive,Unknown,,,,Unknown
709,Kagikko,Krieg Pirates,Human,Alive,Unknown,East Blue,,,Unknown
710,Kaidou,Beasts Pirates,Human,Unknown,"Uo Uo no Mi, Model: Seiryu",Grand Line,"['Conquerors', 'Observation', 'Armament']",4611100000,Zoan
711,Kairen,Mermaid Café,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
712,Kairiken,,Human,Alive,Unknown,,,,Unknown
713,Kairo Kureyo,,Human,Unknown,Unknown,,,"At least 100,000,000",Unknown
714,Kaku ,CP0,Human,Alive,"Ushi Ushi no Mi, Model: Giraffe (Awakened)",East Blue,"['Observation', 'Armament']",,Zoan
715,Kaku,Kyoshiro Family,Human,Alive,Unknown,,,,Unknown
716,Kakukaku,,Human,Alive,Unknown,,,,Unknown
717,Kakunoshin,Kouzuki Family,Human,Alive,Unknown,,,,Unknown
718,Kalgara,Shandia,Moon people - Shandian,Deceased,Unknown,Grand Line (Jaya),['Observation'],,Unknown
719,Kalifa,CP0,Human,Alive,Awa Awa no Mi,Grand Line,"['Observation', 'Armament']",,Paramecia
720,Kamakiri,God's Guards,Moon people - Shandian,Alive,Unknown,Sky Islands (Skypiea),,,Unknown
721,Kamakirigirl,Beasts Pirates,Human,Alive,Praying Mantis SMILE,,,,Zoan
722,Kamekichi,,Human,Alive,Unknown,,,,Unknown
723,Kamijiro,Beasts Pirates,Devil Fruit creation,Alive,Unknown,,,,Unknown
724,Kaneshiro,Arlong Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
725,Kanezenny,,Human,Alive,Unknown,,,,Unknown
726,Kappa,,Human,Alive,Unknown,,,,Unknown
727,Karasu,Revolutionary Army,Human,Alive,Susu Susu no Mi,North Blue,"['Observation', 'Armament']",400000000,Logia
728,Karin,Walrus School,Giant,Alive,Unknown,,,,Unknown
729,Karma,Takotopus Pirates,Fish-man,Alive,Unknown,,,,Unknown
730,Karoo,Arabasta Kingdom,Animal,Alive,Unknown,Grand Line (Arabasta Kingdom),,,Unknown
731,Kasa,Raijin Island,Human,Alive,Unknown,,,,Unknown
732,Kasagoba,New Fish-Man Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
733,Kashigami,Shandia,Animal,Deceased,Unknown,,,,Unknown
734,Kashigami's child,Shandia,Animal,Deceased,Unknown,,,,Unknown
735,Kashii,Giant Warrior Pirates,Giant,Alive,Unknown,Grand Line (Elbaph),,,Unknown
736,Katsuzo,,Human,Deceased,Unknown,,,,Unknown
737,Kawamatsu,Kouzuki Family,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),"['Observation', 'Armament']",,Unknown
738,Kaya,,Human,Alive,Unknown,East Blue (Gecko Islands),,,Unknown
739,Kazekage,Beasts Pirates,Human,Alive,Unknown,Grand Line (Wano Country),,,Unknown
740,Kazenbo,Kurozumi Family,Devil Fruit creation,Deceased,Unknown,Grand Line (Onigashima),,,Unknown
741,Kebi,Rebel Army (former),Human,Alive,Unknown,,,,Unknown
742,Kechatch,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
743,Keith,Mokomo Dukedom,Mink,Alive,Unknown,,,,Unknown
744,Kelly Funk,Mogaro Kingdom,Human,Alive,Jake Jake no Mi,Grand Line (Mogaro Kingdom),,57000000,Paramecia
745,Kentauros,Arabasta Kingdom,Animal,Alive,Unknown,,,,Unknown
746,Kerville,World Government,Human,Unknown,Unknown,Grand Line,,,Unknown
747,Kiba,Walrus School,Giant,Alive,Unknown,,,,Unknown
748,Kibagaeru,Foxy Pirates (former),Human,Alive,Unknown,,,,Unknown
749,Kibin,Marines,Human,Alive,Unknown,,,100000000,Unknown
750,Kiev,Galley-La Company (Zambai's Company Union),Human,Alive,Unknown,,,,Unknown
751,Kikipatsu,Blackbeard Pirates,Human,Alive,Unknown,,,,Unknown
752,Kiku,Kuja,Human,Alive,Unknown,,['Armament'],,Unknown
753,Kikunojo,Kouzuki Family,Human,Alive,Unknown,Grand Line (Wano Country),"['Observation', 'Armament']",,Unknown
754,Kikyo,Kuja,Human,Alive,Unknown,Calm Belt (Amazon Lily),['Armament'],,Unknown
755,Killer,Kid Pirates,Human,Unknown,Unknown,South Blue (Kutsukku Island),"['Observation', 'Armament']",200000000,Unknown
756,Kimel,Spade Pirates,Human,Alive,Unknown,,,,Unknown
757,Kinbo,,Human,Alive,Unknown,,,,Unknown
758,Kinderella,Evil Black Drum Kingdom,Human,Alive,Unknown,,,,Unknown
759,Kinemon,Kouzuki Family,Human,Alive,Fuku Fuku no Mi,Grand Line (Wano Country),"['Observation', 'Armament']",,Paramecia
760,Kinga,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
761,Kingbaum,Big Mom Pirates,Object,Deceased,Unknown,Grand Line (Totto Land),,,Unknown
762,Kingdew,Whitebeard Pirates,Human,Alive,Unknown,Grand Line,,,Unknown
763,Kinoko,Buggy Pirates,Human,Alive,Unknown,,,"At least 100,000,000",Unknown
764,Kirinkodanuki,Island of Rare Animals,Animal,Alive,Unknown,,,,Unknown
765,Kirintauros,Caesar Clown (former),Human,Alive,Unknown,,,,Unknown
766,Kisegawa,,Human,Alive,Unknown,,,,Unknown
767,Kitton,,Human,Alive,Unknown,,,,Unknown
768,Kiwi,Franky Family,Human,Alive,Unknown,Grand Line (Water 7),,,Unknown
769,Koala,Revolutionary Army,Human,Alive,Unknown,,,,Unknown
770,Kobe,,Human,Alive,Unknown,,,,Unknown
771,Koby,Marines (SWORD),Human,Alive,Unknown,East Blue (Satsuruzo Kingdom),"['Observation', 'Armament']","500,000,000 [Cross Guild]",Unknown
772,Koda,Marines ,Human,Alive,Unknown,,,,Unknown
773,Koito,,Human,Alive,Unknown,,,,Unknown
774,Koiwa,,Human,Unknown,Unknown,,,,Unknown
775,Kojuro,Kouzuki Family,Human,Alive,Unknown,,,,Unknown
776,Kokoro,Tom's Workers,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
777,Komachiyo,Kurozumi Tama,Animal,Alive,Unknown,,,,Unknown
778,Komakkov,Marines ,Human,Alive,Unknown,,,,Unknown
779,Komane,Lulusia Kingdom,Human,Unknown,Unknown,,,,Unknown
780,Konbu,,Human,Alive,Unknown,,,,Unknown
781,Kong,World Government,Human,Alive,Unknown,,['Armament'],,Unknown
782,Kop,Franky Family,Human,Alive,Unknown,,,,Unknown
783,Koshi Falcon,Beasts Pirates,Human,Alive,Peregrine Falcon SMILE,,,,Zoan
784,Kotatsu,Spade Pirates,Animal,Alive,Unknown,,,,Unknown
785,Kotetsu,,Human,Deceased,Unknown,,,,Unknown
786,Kotori,God's Army (former),Moon people - Birkan,Unknown,Unknown,Sky Islands (Birka),['Observation'],,Unknown
787,Kouzuki Hiyori,Kouzuki Family,Human,Alive,Unknown,Grand Line (Moby Dick),,,Unknown
788,Kouzuki Momonosuke,Kouzuki Family,Human,Alive,"Uo Uo no Mi, Model: Seiryu (Artificial)",Grand Line (Moby Dick),['Observation'],,Zoan
789,Gecko Moria [Kouzuki Moria],Thriller Bark Pirates,Human,Alive,Kage Kage no Mi,West Blue,,320000000,Paramecia
790,Kouzuki Oden,Kouzuki Family,Human,Deceased,Unknown,Grand Line (Wano Country),"['Conquerors', 'Observation', 'Armament']",,Unknown
791,Kouzuki Sukiyaki,Kouzuki Family,Human,Alive,Unknown,,,,Unknown
792,Kouzuki Toki,Kouzuki Family,Human,Deceased,Toki Toki no Mi,,,,Paramecia
793,Koyama,Kouzuki Family,Animal,Unknown,Unknown,,,,Unknown
794,Koza,Arabasta Kingdom,Human,Alive,Unknown,Grand Line (Arabasta Kingdom),,,Unknown
795,Koze,Yes Pirates,Human,Alive,Unknown,East Blue,,,Unknown
796,Krieg,Krieg Pirates,Human,Alive,Unknown,East Blue,,17000000,Unknown
797,Kujaku,Marines (SWORD),Human,Alive,Muchi Muchi no Mi,North Blue,"['Observation', 'Armament']","500,000,000 [Cross Guild]",Paramecia
798,Kukai,Spade Pirates,Human,Alive,Unknown,,,,Unknown
799,Kumadori,CP0,Human,Alive,Unknown,South Blue,"['Observation', 'Armament']",,Unknown
800,Kumadori Yamanbako,Kumadori,Human,Alive,Unknown,,,,Unknown
801,Kumae,,Animal,Unknown,Unknown,,,,Unknown
802,Kumagoro,,Human,Alive,Unknown,,,,Unknown
803,Kumashi,Thriller Bark Pirates,Devil Fruit creation,Deceased,Unknown,,,,Unknown
804,Kuni,Kyoshiro Family,Human,Alive,Unknown,,,,Unknown
805,Kunyun,Beasts Pirates (Numbers),Artificial Giant,Alive,Unknown,Grand Line (Punk Hazard),,,Unknown
806,Kureha,Sakura Kingdom,Human,Alive,Unknown,Grand Line (Drum Kingdom),,,Unknown
807,Kuro,Black Cat Pirates,Human,Alive,Unknown,East Blue,,16000000,Unknown
808,Kurokoma,Kurokoma Family,Human,Unknown,Unknown,,,,Unknown
809,Kuromarimo,Drum Kingdom (former),Human,Alive,Unknown,Grand Line (Drum Kingdom),,,Unknown
810,Kuroobi,Arlong Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,9000000,Unknown
811,Kurosawa,Kouzuki Family,Human,Alive,Unknown,,,,Unknown
812,Kurotsuru,,Human,Unknown,Unknown,,,,Unknown
813,Kurozumi Higurashi,Kurozumi Family,Human,Deceased,Mane Mane no Mi,Grand Line (Wano Country),,,Paramecia
814,Kurozumi Kanjuro,Kurozumi Family,Human,Deceased,Fude Fude no Mi,Grand Line (Wano Country),"['Observation', 'Armament']",,Paramecia
815,Kurozumi Orochi,Kurozumi Family,Human,Deceased,"Hebi Hebi no Mi, Model: Yamata no Orochi",Grand Line (Wano Country),,,Zoan
816,Kurozumi Semimaru,Kurozumi Family,Human,Deceased,Bari Bari no Mi,Grand Line (Wano Country),,,Paramecia
817,Kurozumi Tama,Kurozumi Family,Human,Alive,Kibi Kibi no Mi,Grand Line (Wano Country),,,Paramecia
818,Kuzan [Aokiji],Blackbeard Pirates,Human,Alive,Hie Hie no Mi,South Blue (Vespa Kingdom),"['Observation', 'Armament']",,Logia
819,Kyo [Silver Axe],Rocks Pirates (former),Human,Unknown,Unknown,,,,Unknown
820,Kyros,Corrida Colosseum (former),Human,Alive,Unknown,Grand Line (Dressrosa),,,Unknown
821,Kyuin,Donquixote Pirates (former),Human,Alive,Unknown,,,,Unknown
822,Kyuji,Marines ,Human,Alive,Unknown,,,,Unknown
823,Kyukyu,,Human,Alive,Unknown,,,,Unknown
824,Laboon,Crocus,Animal,Alive,Unknown,West Blue,,,Unknown
825,Lacroix,Marines,Giant,Alive,Unknown,,['Armament'],500000000,Unknown
826,Lacuba,,Human,Alive,Unknown,Grand Line,,17000000,Unknown
827,Lady Tree,,Object,Alive,Unknown,,,,Unknown
828,Laffitte,Blackbeard Pirates,Human,Alive,Unnamed Wings Devil Fruit,West Blue,,"At least 42,200,000",Unknown
829,Lao G,Donquixote Pirates,Human,Alive,Unknown,North Blue,,61000000,Unknown
830,Laskey,CP9 (former),Human,Unknown,Unknown,,,,Unknown
831,Lassoo,New Spiders Cafe,Object,Alive,"Inu Inu no Mi, Model: Dachshund",,,,Zoan
832,Lemoncheese,Bestland Kingdom,Human,Alive,Unknown,,,,Unknown
833,Leo,Tontatta Kingdom,Dwarf,Alive,Nui Nui no Mi,Grand Line (Green Bit),,,Paramecia
834,Leonero,Spade Pirates,Human,Alive,Unknown,,,,Unknown
835,Lilith,Marines (SSG),Robot,Alive,Unknown,Grand Line (Egghead),,,Unknown
836,Lily,Bellamy Pirates,Human,Unknown,Unknown,North Blue (Notice),,,Unknown
837,Limejuice,Red Hair Pirates,Human,Alive,Unknown,,,,Unknown
838,Linaria,Night Butterfly Pirates,Human,Alive,Unknown,,,,Unknown
839,Lindbergh,Revolutionary Army,Mink,Alive,Unknown,,"['Observation', 'Armament']",316000000,Unknown
840,Lines,Marines,Human,Alive,Unknown,East Blue,,100000,Unknown
841,Lionbuta,Island of Rare Animals,Animal,Alive,Unknown,,,,Unknown
842,Lip Doughty,Fake Straw Hat Crew (Former),Human,Alive,Unknown,,,88000000,Unknown
843,Little Oars Jr.,Little Pirates,Ancient Giant,Unknown,Unknown,Grand Line,,550000000,Unknown
844,Loki,Warland Kingdom,Giant,Alive,"Ryu Ryu no Mi, Model: Nidhogg",Grand Line (Elbaph),"['Conquerors', 'Observation']",2600000000,Zoan
845,Lonz,Marines,Giant,Alive,Unknown,,['Armament'],500000000,Unknown
846,Lord of the Coast,,Animal,Alive,Unknown,East Blue,,,Unknown
847,Lord of the Coast,,Animal,Unknown,Unknown,,,,Unknown
848,Louis Arnote,,Human,Unknown,Unknown,Grand Line,,,Unknown
849,Love,Baroque Works (Millions) (former),Human,Alive,Unknown,,,,Unknown
850,Lu Feld,Underworld,Human,Unknown,Unknown,,,,Unknown
851,Lucky Roux,Red Hair Pirates,Human,Alive,Unknown,South Blue,['Armament'],,Unknown
852,Lulis,Mermaid Café,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
853,Machvise,Donquixote Pirates,Human,Alive,Ton Ton no Mi,North Blue,,11000000,Paramecia
854,Macro ,Macro Pirates,Fish-man,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
855,Macro,Automata,Robot,Alive,Unknown,,,,Unknown
856,Madilloman,Beasts Pirates,Human,Alive,Armadillo SMILE,,,,Zoan
857,Mag,Walrus School,Giant,Alive,Unknown,,,,Unknown
858,Magellan,Impel Down,Human,Alive,Doku Doku no Mi,Grand Line,,,Paramecia
859,Magnolia,,Human,Deceased,Unknown,,,,Unknown
860,Magra,Dadan Family,Human,Alive,Unknown,East Blue,,,Unknown
861,Maha,CP0,Human,Unknown,Unknown,,,,Unknown
862,Maidy,Arabasta Kingdom,Human,Alive,Unknown,,,,Unknown
863,Maki,Blackbeard Pirates,Human,Alive,Unknown,,,,Unknown
864,Makino,Partys Bar,Human,Alive,Unknown,East Blue (Foosha Village),,,Unknown
865,Makko,Marines,Human,Alive,Unknown,,,1000000,Unknown
866,Manboshi,Ryugu Kingdom,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
867,Mani,Bellamy Pirates,Human,Unknown,Unknown,North Blue (Notice),,,Unknown
868,Manjaro,Fake Straw Hat Crew,Human,Alive,Unknown,East Blue,,,Unknown
869,Mansherry,Tontatta Kingdom,Dwarf,Alive,Chiyu Chiyu no Mi,Grand Line (Green Bit),,,Paramecia
870,Marco,Whitebeard Pirates (former),Human,Alive,"Tori Tori no Mi, Model: Phoenix",Grand Line,"['Observation', 'Armament']",1374000000,Zoan
871,Marcus Mars,Five Elders,Human,Alive,Unknown,,"['Conquerors', 'Observation']",,Unknown
872,Margarita,Egana,Human,Alive,Unknown,,,,Unknown
873,Marguerite,Kuja,Human,Alive,Unknown,Calm Belt (Amazon Lily),['Armament'],,Unknown
874,Mari,Czacho Kingdom,Human,Alive,Unknown,,,,Unknown
875,Maria Napole,Ryugu Kingdom,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
876,Marianne [Miss Goldenweek],New Spiders Cafe,Human,Alive,Unknown,North Blue,,29000000,Unknown
877,Marie,Saint Charlos,Human,Alive,Unknown,Grand Line,,,Unknown
878,Marilyn,,Moon people - Skypiean,Alive,Unknown,,,,Unknown
879,Marin,,Human,Alive,Unknown,Grand Line (Sabaody Archipelago),,,Unknown
880,Mario,,Animal,Alive,Unknown,,,,Unknown
881,Marlon,Rocks Pirates,Human,Deceased,Unknown,West Blue,,,Unknown
882,Marshall D. Teach [Blackbeard],Blackbeard Pirates,Human,Alive,"['Yami Yami no Mi', ' Gura Gura No Mi']",Grand Line (Shade Port),"['Observation', 'Armament']",3996000000,"['Logia', 'Paramecia']"
883,Marumieta,,Human,Alive,Unknown,,,,Unknown
884,Mash,,Animal,Unknown,Unknown,,,,Unknown
885,Mashikaku,Marines,Human,Alive,Unknown,East Blue,,100000,Unknown
886,Masira,Saruyama Alliance (Masira Pirates),Human,Alive,Unknown,North Blue,,23000000,Unknown
887,Masked Deuce,Spade Pirates,Human,Alive,Unknown,,,,Unknown
888,Massui,Beasts Pirates,Human,Alive,Unknown,,,,Unknown
889,Master,,Human,Alive,Unknown,,,,Unknown
890,Mato,,Giant,Alive,Unknown,,,,Unknown
891,Matryosaka,Roshwan Kingdom,Human,Alive,Unknown,,,,Unknown
892,Matryosuka,Roshwan Kingdom,Human,Alive,Unknown,,,,Unknown
893,Matryoseka,Roshwan Kingdom,Human,Alive,Unknown,,,,Unknown
894,Matryosoka,Roshwan Kingdom,Human,Alive,Unknown,,,,Unknown
895,Matsuge,Super Spot-Billed Duck Troops,Animal,Alive,Unknown,Grand Line (Arabasta Kingdom),,,Unknown
896,Maujii,Tontatta Kingdom,Dwarf,Alive,Unknown,,,,Unknown
897,MAX Marx,Roger Pirates,Human,Unknown,Unknown,,,,Unknown
898,Maynard,Marines,Human,Alive,Unknown,,['Armament'],500000000,Unknown
899,Mayushika,Shandia,Moon people - Shandian,Alive,Unknown,,,,Unknown
900,McGuy,Whitebeard Pirates,Human,Alive,Unknown,,,,Unknown
901,McKinley,God Guardians,Moon people - Skypiean,Alive,Unknown,,,,Unknown
902,Meadows,,Human,Alive,Unknown,,,,Unknown
903,Mecha-Shark,Vegapunk,Robot,Unknown,Unknown,,,,Unknown
904,Megalo,Ryugu Kingdom,Animal,Alive,Unknown,,,,Unknown
905,Mero,Mermaid Café,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
906,Merry,Kaya,Human,Alive,Unknown,East Blue (Syrup Village),,,Unknown
907,Mezasuzowan Pisuo,Germ Pirates,Human,Alive,Unknown,,,,Unknown
908,Michael,,Human,Alive,Unknown,,,,Unknown
909,Mihar,Spade Pirates,Human,Alive,Unknown,,,,Unknown
910,Mikazuki,Big Helmet Pirates,Human,Alive,Unknown,,,36000000,Unknown
911,Mikita [Miss Valentine],New Spiders Cafe,Human,Alive,Kiro Kiro no Mi,West Blue,,7500000,Paramecia
912,Miles,Ryugu Kingdom,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
913,Milky,Mokomo Dukedom,Mink,Alive,Unknown,,,,Unknown
914,Millet Pine,Roger Pirates,Human,Unknown,Unknown,,,,Unknown
915,Milo,,Human,Alive,Unknown,,,,Unknown
916,Minatomo,,Human,Alive,Unknown,,,,Unknown
917,Minister of the Left,Ryugu Kingdom,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
918,Minister of the Right,Ryugu Kingdom,Merfolk,Alive,Unknown,Grand Line (Ryugu Kingdom),,,Unknown
919,Minochihuahua,Impel Down,Human,Alive,Unnamed Chihuahua Zoan (Failed Awakened),,,,Zoan
920,Minokoala,Impel Down,Human,Alive,Unnamed Koala Zoan (Failed Awakened),,,,Zoan
921,Minorhinoceros,Impel Down,Human,Alive,Unnamed Rhinoceros Zoan (Failed Awakened),,,,Zoan
922,Minoruba,,Human,Alive,Unknown,,,,Unknown
923,Minotaurus,Impel Down,Human,Alive,Unnamed Cow Zoan (Failed Awakened),,,,Zoan
924,Minozebra,Impel Down,Human,Alive,Unnamed Zebra Zoan (Failed Awakened),,,,Zoan
925,Misery,Big Mom Pirates,Devil Fruit creation,Unknown,Unknown,Grand Line (Onigashima),,,Unknown
926,Mishoin Cashible,,Human,Alive,Unknown,,,,Unknown
927,Miss Catherina,Baroque Works (Millions) (former),Human,Alive,Unknown,East Blue,,,Unknown
928,Miss Father's Day,Baroque Works (former),Human,Alive,Unknown,,,,Unknown
929,Miss Friday,Baroque Works (former),Animal,Alive,Unknown,Grand Line,,,Unknown
930,Miss Monday,Baroque Works (former),Human,Alive,Unknown,Grand Line,,,Unknown
931,Miss Mother's Day,Baroque Works (former),Human,Alive,Unknown,,,,Unknown
932,Miss Saturday,Baroque Works (former),Human,Alive,Unknown,,,,Unknown
933,Miss Thursday,Baroque Works (former),Human,Alive,Unknown,,,,Unknown
934,Miss Tuesday,Baroque Works (former),Human,Alive,Unknown,,,,Unknown
935,Misty,Baroque Works (Millions) (former),Human,Alive,Unknown,,,,Unknown
936,Miyagi,Mokomo Dukedom,Mink,Alive,Unknown,,,,Unknown
937,Mizerka,Beasts Pirates,Human,Alive,Gorilla SMILE,,,,Zoan
938,Mizuira,,Human,Deceased,Unknown,,,,Unknown
939,Mizuta Madaisuki,Rumbar Pirates,Human,Deceased,Unknown,,,,Unknown
940,Mizuta Mawaritosuki,Rumbar Pirates,Human,Deceased,Unknown,,,,Unknown
941,Moai,Kid Pirates,Human,Unknown,Unknown,,,,Unknown
942,MocDonald,Thriller Bark Pirates,Devil Fruit creation,Deceased,Unknown,,,,Unknown
943,Mocha,,Human,Alive,Unknown,Grand Line (New World),,,Unknown
944,Mochi,,Moon people - Skypiean,Alive,Unknown,,,,Unknown
